"filename", "language", "PowerShell", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "HTML", "Python", "pip requirements", "TypeScript", "TypeScript JSX", "YAML", "JSON with Comments", "Java", "Batch", "Java Properties", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\eyash\news_bridge\avatar-studio-component\SETUP.md", "Markdown", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 178
"c:\Users\eyash\news_bridge\avatar-studio-component\START_HERE.md", "Markdown", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 203
"c:\Users\eyash\news_bridge\avatar-studio-component\package.json", "JSON", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\eyash\news_bridge\avatar-studio-component\public\emotion.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 105
"c:\Users\eyash\news_bridge\avatar-studio-component\public\gestures.js", "JavaScript", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 33, 307
"c:\Users\eyash\news_bridge\avatar-studio-component\public\legacy.html", "HTML", 0, 0, 0, 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 358
"c:\Users\eyash\news_bridge\avatar-studio-component\public\lipsync.js", "JavaScript", 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 45, 435
"c:\Users\eyash\news_bridge\avatar-studio-component\public\main.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 30, 253
"c:\Users\eyash\news_bridge\avatar-studio-component\public\pose-studio.js", "JavaScript", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 34, 340
"c:\Users\eyash\news_bridge\avatar-studio-component\public\recorder.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 12, 79
"c:\Users\eyash\news_bridge\avatar-studio-component\public\rhubarb.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 8, 108
"c:\Users\eyash\news_bridge\avatar-studio-component\public\scene.js", "JavaScript", 0, 0, 712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 111, 1001
"c:\Users\eyash\news_bridge\avatar-studio-component\public\style.css", "PostCSS", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 88
"c:\Users\eyash\news_bridge\avatar-studio-component\public\test.js", "JavaScript", 0, 0, 855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 107, 1096
"c:\Users\eyash\news_bridge\avatar-studio-component\public\tts.js", "JavaScript", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 33, 323
"c:\Users\eyash\news_bridge\avatar-studio-component\src\AvatarStudioFrame.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 80
"c:\Users\eyash\news_bridge\avatar-studio-component\src\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\eyash\news_bridge\avatar\bake_poses_to_shapekeys.py", "Python", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 24, 141
"c:\Users\eyash\news_bridge\avatar\debug.html", "HTML", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 156
"c:\Users\eyash\news_bridge\avatar\export_avatar.py", "Python", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 12, 104
